# Program:featureCounts v2.0.3; Command:"featureCounts" "-g" "gene_id" "-a" "/content/GCF_000146045.2_R64_genomic.gtf" "-o" "output_featurecounts.txt" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
gene-YFL018C	NC_001138.5	101628	103127	-	1500	5146	6051	145	720
gene-YFL017W-A	NC_001138.5	103699	103932	+	234	101	123	33	119
gene-YFL017C	NC_001138.5	103983	104462	-	480	217	292	30	144
gene-YFL016C	NC_001138.5	104701	106236	-	1536	3394	6612	163	628
gene-YFL015C	NC_001138.5	106469	106963	-	495	10	17	5	11
gene-YFL014W	NC_001138.5	107256	107585	+	330	79439	38470	2625	7645
gene-YFL013C	NC_001138.5	107852	109930	-	2079	1093	1289	92	322
gene-YFL012W	NC_001138.5	110647	111093	+	447	0	0	0	1
gene-YFL011W	NC_001138.5	112345	113985	+	1641	11	6	0	1
gene-YFL010W-A	NC_001138.5	114990	115274	+	285	34	51	16	39
gene-YFL010C	NC_001138.5	115108	115743	-	636	154	314	124	423
gene-YFL009W	NC_001138.5	116145	118484	+	2340	392	331	88	310
gene-YFL008W	NC_001138.5	119429	123106	+	3678	151	664	8	61
gene-YFL007W	NC_001138.5	123479	129910	+	6432	1965	1278	131	448
gene-YFL005W	NC_001138.5	130334	130981	+	648	2201	2043	209	728
gene-YNCF0003C	NC_001138.5	131061	131503	-	443	172	210	16	75
gene-YFL004W	NC_001138.5	131810	134296	+	2487	1318	1434	132	507
gene-YFL003C	NC_001138.5	134521	137157	-	2637	83	61	17	56
gene-YNCF0004C	NC_001138.5	137486	137559	-	74	0	0	0	0
gene-YFL002W-B	NC_001138.5	138204	139520	+	1317	0	0	0	0
gene-YFL002W-A	NC_001138.5	138204	143517	+	5314	0	0	0	0
gene-YFL002C	NC_001138.5	145114	146934	-	1821	416	491	258	716
gene-YFL001W	NC_001138.5	147131	148459	+	1329	82	196	176	564
gene-YFR001W	NC_001138.5	149110	149724	+	615	563	667	309	1148
gene-YFR002W	NC_001138.5	150016	152535	+	2520	569	660	249	837
gene-YFR003C	NC_001138.5	152657	153124	-	468	367	622	6	53
gene-YFR004W	NC_001138.5	153393	154313	+	921	2040	2730	163	621
gene-YFR005C	NC_001138.5	154527	155873	-	1347	50	104	58	320
gene-YFR006W	NC_001138.5	156145	157752	+	1608	1728	1497	171	630
gene-YNCF0005C	NC_001138.5;NC_001138.5	157916;157971	157951;158007	-;-	73	0	0	0	0
gene-YFR007W	NC_001138.5	159299	160360	+	1062	101	150	21	108
gene-YFR008W	NC_001138.5	160535	161200	+	666	302	273	13	79
gene-YNCF0006W	NC_001138.5	162228	162298	+	71	0	0	0	0
gene-YFR009W	NC_001138.5	162488	164746	+	2259	613	1016	346	1284
gene-YFR010W	NC_001138.5	165067	166566	+	1500	1989	2966	86	491
gene-YFR011C	NC_001138.5	166746	167258	-	513	597	1716	59	295
gene-YNCF0007W	NC_001138.5;NC_001138.5	167437;167490	167475;167525	+;+	75	0	0	0	0
gene-YFR012W	NC_001138.5	167888	168496	+	609	14	3	2	1
gene-YFR012W-A	NC_001138.5	169224	169310	+	87	1	0	0	3
gene-YFR013W	NC_001138.5	169922	172285	+	2364	207	373	68	238
gene-YFR014C	NC_001138.5	172537	173877	-	1341	1132	1372	36	119
gene-YFR015C	NC_001138.5	174265	176391	-	2127	2646	2956	29	105
gene-YFR016C	NC_001138.5	177042	180743	-	3702	1402	1205	41	156
gene-YNCF0008C	NC_001138.5	180974	181044	-	71	0	0	0	0
gene-YFR017C	NC_001138.5	182274	182861	-	588	1756	1436	23	52
gene-YFR018C	NC_001138.5	183131	184222	-	1092	274	381	17	55
gene-YFR019W	NC_001138.5	184502	191338	+	6837	513	511	11	63
gene-YNCF0009C	NC_001138.5;NC_001138.5	191513;191577	191557;191613	-;-	82	0	0	0	0
gene-YFR020W	NC_001138.5	192737	193435	+	699	81	93	24	106
gene-YFR021W	NC_001138.5	194812	196314	+	1503	144	198	35	131
gene-YFR022W	NC_001138.5	196833	199034	+	2202	125	99	27	113
gene-YNCF0010C	NC_001138.5	199299	199813	-	515	0	0	0	0
gene-YFR023W	NC_001138.5	199874	201709	+	1836	16	9	0	0
gene-YFR024C-A	NC_001138.5;NC_001138.5	201960;203387	203292;203433	-;-	1380	1866	2426	49	196
gene-YFR025C	NC_001138.5	203743	204750	-	1008	161	400	37	193
gene-YNCF0011C	NC_001138.5	204924	204996	-	73	0	0	0	0
gene-YFR026C	NC_001138.5	205748	206257	-	510	7	24	0	4
gene-YFR027W	NC_001138.5	207452	208297	+	846	9	35	3	13
gene-YFR028C	NC_001138.5	208413	210068	-	1656	103	232	168	680
gene-YNCF0012C	NC_001138.5;NC_001138.5	210619;210669	210654;210707	-;-	75	0	0	0	1
gene-YFR029W	NC_001138.5	210937	212973	+	2037	413	210	94	383
gene-YFR030W	NC_001138.5	213312	216419	+	3108	248	228	185	658
gene-YFR031C	NC_001138.5	216594	220106	-	3513	173	295	37	160
gene-YFR031C-A	NC_001138.5;NC_001138.5	220507;221415	221267;221418	-;-	765	768	2884	2609	9467
gene-YNCF0013W	NC_001138.5	221714	221967	+	254	1	1	0	3
gene-YFR032C	NC_001138.5	222090	222959	-	870	0	1	17	48
gene-YFR032C-A	NC_001138.5	223258	223437	-	180	560	1321	1121	4369
gene-YFR032C-B	NC_001138.5	223710	223973	-	264	24	34	27	97
gene-YFR033C	NC_001138.5	224326	224769	-	444	3816	4476	226	786
gene-YFR034C	NC_001138.5	225020	225958	-	939	207	221	111	359
gene-YFR035C	NC_001138.5	226121	226465	-	345	99	275	58	211
gene-YNCF0014C	NC_001138.5	226688	226760	-	73	0	0	0	0
gene-YFR036W	NC_001138.5	226963	227337	+	375	94	91	73	232
gene-YFR037C	NC_001138.5	227513	229186	-	1674	734	1196	288	1042
gene-YFR038W	NC_001138.5	229380	231941	+	2562	337	434	74	270
gene-YFR039C	NC_001138.5	232012	233544	-	1533	690	575	99	369
gene-YFR040W	NC_001138.5	234242	237250	+	3009	2547	2181	165	488
gene-YFR041C	NC_001138.5	237368	238255	-	888	264	617	29	168
gene-YFR042W	NC_001138.5	238458	239060	+	603	85	177	22	118
gene-YFR043C	NC_001138.5	239114	239827	-	714	280	344	27	123
gene-YFR044C	NC_001138.5	239992	241437	-	1446	1436	1980	155	781
gene-YFR045W	NC_001138.5;NC_001138.5	241998;242082	242009;242999	+;+	930	164	340	22	108
gene-YFR046C	NC_001138.5	243074	244159	-	1086	162	293	12	77
gene-YFR047C	NC_001138.5	244279	245166	-	888	1020	1244	30	132
gene-YFR048W	NC_001138.5	246146	248134	+	1989	227	352	71	294
gene-YFR049W	NC_001138.5	248523	248894	+	372	1929	2046	29	109
gene-YFR050C	NC_001138.5	249066	249866	-	801	2169	2935	117	621
gene-YFR051C	NC_001138.5	250163	251803	-	1641	170	610	169	639
gene-YFR052W	NC_001138.5	252505	253329	+	825	1590	1698	73	359
gene-YFR053C	NC_001138.5	253592	255049	-	1458	4562	16512	53	507
gene-YFR054C	NC_001138.5	258855	259433	-	579	10	3	0	0
gene-YFR055W	NC_001138.5	264204	265226	+	1023	31	74	41	143
gene-YFR057W	NC_001138.5	269061	269516	+	456	16	15	1	4
gene-YGL263W	NC_001139.9	2790	3932	+	1143	222	260	54	164
gene-YGL262W	NC_001139.9	5312	5839	+	528	143	132	10	25
gene-YGL261C	NC_001139.9	6290	6652	-	363	5	6	0	4
gene-YGL260W	NC_001139.9	6860	7090	+	231	3	3	0	1
gene-YGL259W	NC_001139.9	8470	8967	+	498	27	34	2	6
gene-YGL258W-A	NC_001139.9	9162	9395	+	234	14	10	0	4
gene-YGL258W	NC_001139.9	11110	11730	+	621	20	11	1	11
gene-YGL257C	NC_001139.9	12481	14157	-	1677	229	266	40	246
gene-YGL256W	NC_001139.9	15159	16307	+	1149	253	327	106	420
gene-YGL255W	NC_001139.9	20978	22108	+	1131	1879	2974	2479	10658
gene-YGL254W	NC_001139.9	22304	23203	+	900	267	150	47	90
gene-YGL253W	NC_001139.9	23935	25395	+	1461	98	1446	365	1526
gene-YGL252C	NC_001139.9	25718	27484	-	1767	1339	1352	155	627
gene-YGL251C	NC_001139.9;NC_001139.9	27921;31579	31426;31636	-;-	3564	228	143	13	67
gene-YGL250W	NC_001139.9	31910	32635	+	726	383	473	11	63
gene-YGL249W	NC_001139.9	33098	35212	+	2115	12	3	1	4
gene-YNCG0001C	NC_001139.9	33109	35013	-	1905	0	0	0	0
gene-YGL248W	NC_001139.9	35653	36762	+	1110	724	679	46	211
gene-YGL247W	NC_001139.9	36933	37526	+	594	47	59	32	163
gene-YGL246C	NC_001139.9	37617	38780	-	1164	142	284	275	873
gene-YGL245W	NC_001139.9	39023	41149	+	2127	1852	3485	360	1522
gene-YGL244W	NC_001139.9	41498	43174	+	1677	461	617	235	801
gene-YGL243W	NC_001139.9	43307	44509	+	1203	141	194	54	187
gene-YGL242C	NC_001139.9	44652	45197	-	546	127	95	4	44
gene-YGL241W	NC_001139.9	45445	48459	+	3015	91	162	31	125
gene-YGL240W	NC_001139.9	48613	49365	+	753	76	90	15	24
gene-YGL238W	NC_001139.9	49552	52434	+	2883	514	655	238	799
gene-YGL237C	NC_001139.9	52731	53528	-	798	512	637	48	132
gene-YGL236C	NC_001139.9	53787	55796	-	2010	29	126	45	122
gene-YGL235W	NC_001139.9	55279	55815	+	537	0	0	0	2
gene-YGL234W	NC_001139.9	56482	58890	+	2409	415	957	992	2418
gene-YGL233W	NC_001139.9	59122	61854	+	2733	528	611	55	236
gene-YGL232W	NC_001139.9;NC_001139.9	62075;62190	62131;63002	+;+	870	242	361	125	584
gene-YGL231C	NC_001139.9	63048	63620	-	573	972	1122	127	529
gene-YGL230C	NC_001139.9	63772	64215	-	444	32	22	6	18
gene-YGL229C	NC_001139.9	64503	66959	-	2457	23	42	1	10
gene-YGL228W	NC_001139.9	67598	69331	+	1734	2211	1616	180	743
gene-YGL227W	NC_001139.9	69671	72547	+	2877	1672	1409	15	61
gene-YGL226C-A	NC_001139.9;NC_001139.9	72749;73138	72988;73158	-;-	261	401	674	26	117
gene-YGL226W	NC_001139.9	73340	73711	+	372	85	157	8	21
gene-YNCG0002C	NC_001139.9	73829	73902	-	74	0	0	3	7
gene-YGL225W	NC_001139.9	76894	77907	+	1014	33	84	245	947
gene-YGL224C	NC_001139.9	78015	78857	-	843	133	172	58	276
gene-YGL223C	NC_001139.9	79112	80365	-	1254	369	486	49	219
gene-YGL222C	NC_001139.9	80659	81186	-	528	384	403	19	105
gene-YGL221C	NC_001139.9	81426	82292	-	867	1015	1310	192	785
gene-YGL220W	NC_001139.9	82374	82736	+	363	465	387	95	336
gene-YGL219C	NC_001139.9	82878	84257	-	1380	2001	2061	175	558
gene-YGL216W	NC_001139.9	84885	87302	+	2418	120	151	54	248
gene-YGL215W	NC_001139.9	87981	89339	+	1359	1361	1014	811	2802
gene-YGL213C	NC_001139.9	90054	91247	-	1194	60	214	108	556
gene-YGL212W	NC_001139.9	91432	92382	+	951	186	204	28	115
gene-YGL211W	NC_001139.9	92512	93591	+	1080	256	278	377	1178
gene-YGL210W	NC_001139.9	93792	94460	+	669	237	286	73	305
gene-YGL209W	NC_001139.9	95858	97006	+	1149	234	169	113	459
gene-YGL208W	NC_001139.9	97338	98585	+	1248	1713	2021	50	143
gene-YGL207W	NC_001139.9	98969	102076	+	3108	894	1639	93	512
gene-YGL206C	NC_001139.9	102543	107504	-	4962	1149	1808	61	314
gene-YGL205W	NC_001139.9	108158	110404	+	2247	15495	5682	155	144
gene-YNCG0003C	NC_001139.9	110625	110696	-	72	20	5	2	1
gene-YGL204C	NC_001139.9	111700	112005	-	306	22	26	12	37
gene-YGL203C	NC_001139.9	112475	114664	-	2190	324	253	166	487
gene-YNCG0004W	NC_001139.9;NC_001139.9	115488;115548	115524;115583	+;+	73	0	0	1	0
gene-YGL202W	NC_001139.9	116059	117561	+	1503	343	1124	331	973
gene-YGL201C	NC_001139.9	117854	120907	-	3054	129	202	162	541
gene-YNCG0005W	NC_001139.9	122269	122341	+	73	0	0	0	0
gene-YGL200C	NC_001139.9	122694	123305	-	612	662	2361	108	477
gene-YGL198W	NC_001139.9	123591	124298	+	708	269	491	48	205
gene-YGL197W	NC_001139.9	124698	129161	+	4464	1301	930	60	201
gene-YGL196W	NC_001139.9	129883	131169	+	1287	223	686	28	216
gene-YGL195W	NC_001139.9	131525	139543	+	8019	641	859	267	852
gene-YGL194C-A	NC_001139.9	139719	139961	-	243	42	35	11	30
gene-YGL194C	NC_001139.9	140368	141726	-	1359	47	121	15	65
gene-YNCG0006C	NC_001139.9	141898	144120	-	2223	0	3	0	0
gene-YGL193C	NC_001139.9	141916	142227	-	312	0	0	0	0
gene-YGL192W	NC_001139.9	142246	144048	+	1803	0	0	0	0
gene-YGL191W	NC_001139.9	144808	145197	+	390	18285	12433	384	1064
gene-YGL190C	NC_001139.9	145809	147389	-	1581	728	508	136	640
gene-YGL189C	NC_001139.9	148229	148588	-	360	2600	5782	3250	13522
gene-YGL188C-A	NC_001139.9	148824	148964	-	141	12	19	39	133
gene-YGL187C	NC_001139.9	149704	150171	-	468	7800	7217	163	755
gene-YGL186C	NC_001139.9	151037	152776	-	1740	141	184	120	383
gene-YGL185C	NC_001139.9	153167	154306	-	1140	297	351	52	163
gene-YGL184C	NC_001139.9	154615	156012	-	1398	189	88	35	80
gene-YGL183C	NC_001139.9;NC_001139.9	156543;157283	157199;157285	-;-	660	4	3	2	0
gene-YGL181W	NC_001139.9	157906	159096	+	1191	1075	1077	109	399
gene-YGL180W	NC_001139.9	160065	162758	+	2694	470	155	24	76
gene-YGL179C	NC_001139.9	163409	165091	-	1683	15	67	25	107
gene-YGL178W	NC_001139.9;NC_001139.9	167352;167995	167354;170571	+;+	2580	725	696	160	445
gene-YGL176C	NC_001139.9	171415	173079	-	1665	30	59	58	173
gene-YGL175C	NC_001139.9	173285	174322	-	1038	22	29	13	43
gene-YGL174W	NC_001139.9	174545	175345	+	801	96	182	46	120
gene-YGL173C	NC_001139.9	175527	180113	-	4587	1785	2074	103	426
gene-YGL172W	NC_001139.9	180700	182118	+	1419	191	384	155	567
gene-YGL171W	NC_001139.9	182390	184084	+	1695	130	204	332	927
gene-YGL170C	NC_001139.9	184153	185394	-	1242	9	23	16	72
gene-YNCG0007C	NC_001139.9	185714	185786	-	73	0	0	0	0
gene-YGL169W	NC_001139.9	186059	187339	+	1281	137	310	289	996
gene-YGL168W	NC_001139.9	187464	187796	+	333	19	12	4	35
gene-YGL167C	NC_001139.9	187616	190468	-	2853	1170	549	147	607
gene-YGL166W	NC_001139.9	191129	191806	+	678	773	719	84	316
gene-YGL164C	NC_001139.9	191978	193300	-	1323	536	523	41	117
gene-YGL163C	NC_001139.9	193707	196403	-	2697	253	299	230	513
gene-YGL162W	NC_001139.9	198138	199037	+	900	7	17	68	198
gene-YGL161C	NC_001139.9	199210	200142	-	933	736	971	22	123
gene-YGL160W	NC_001139.9	200561	202273	+	1713	813	584	46	216
gene-YGL159W	NC_001139.9	202721	203833	+	1113	162	161	31	122
gene-YNCG0008W	NC_001139.9;NC_001139.9	205521;205591	205558;205634	+;+	82	0	1	0	2
gene-YGL158W	NC_001139.9	207033	208571	+	1539	6	0	23	59
gene-YGL157W	NC_001139.9	209006	210049	+	1044	9	29	150	530
gene-YGL156W	NC_001139.9	210416	213667	+	3252	9989	5216	103	170
gene-YGL155W	NC_001139.9	214081	215211	+	1131	202	271	63	203
gene-YGL154C	NC_001139.9	215278	216096	-	819	321	201	23	85
gene-YGL153W	NC_001139.9	216273	217298	+	1026	645	569	56	237
gene-YGL151W	NC_001139.9	217524	220922	+	3399	270	328	74	321
gene-YGL150C	NC_001139.9	221104	225573	-	4470	1032	1269	139	446
gene-YGL149W	NC_001139.9	225572	225877	+	306	35	26	4	6
gene-YGL148W	NC_001139.9	226399	227529	+	1131	185	692	338	1051
gene-YGL147C	NC_001139.9	227754	228329	-	576	119	759	1923	7450
gene-YGL146C	NC_001139.9	228751	229686	-	936	313	212	11	47
gene-YGL145W	NC_001139.9	230243	232348	+	2106	231	217	107	361
gene-YGL144C	NC_001139.9	232450	234507	-	2058	95	38	67	244
gene-YGL143C	NC_001139.9	234717	235958	-	1242	60	274	24	80
gene-YGL142C	NC_001139.9	236269	238119	-	1851	183	112	73	178
gene-YGL141W	NC_001139.9	238353	241085	+	2733	291	295	67	156
gene-YGL140C	NC_001139.9	241353	245012	-	3660	594	674	120	406
gene-YGL139W	NC_001139.9	245716	248124	+	2409	399	454	103	308
gene-YGL138C	NC_001139.9	248494	249531	-	1038	0	0	0	1
gene-YGL137W	NC_001139.9;NC_001139.9	249869;250087	249886;252738	+;+	2670	923	2069	126	576
gene-YGL136C	NC_001139.9	252897	253859	-	963	444	581	100	389
gene-YGL135W	NC_001139.9	254641	255294	+	654	1075	1923	1837	7282
gene-YGL134W	NC_001139.9	255663	256964	+	1302	728	632	115	353
gene-YGL133W	NC_001139.9	257707	261501	+	3795	610	652	222	824
gene-YGL131C	NC_001139.9	261648	265859	-	4212	639	457	48	121
gene-YGL130W	NC_001139.9	266145	267524	+	1380	273	401	135	414
gene-YGL129C	NC_001139.9	267723	269075	-	1353	318	683	81	294
gene-YGL128C	NC_001139.9	269293	270144	-	852	320	243	21	128
gene-YGL127C	NC_001139.9	270392	270775	-	384	194	206	86	289
gene-YGL126W	NC_001139.9	270997	272139	+	1143	107	269	64	304
gene-YGL125W	NC_001139.9	272520	274322	+	1803	492	468	92	351
gene-YGL124C	NC_001139.9	274780	276714	-	1935	221	257	47	219
gene-YGL123W	NC_001139.9	277617	278381	+	765	1574	4375	7199	26540
gene-YGL122C	NC_001139.9	278946	280523	-	1578	2721	2370	383	973
gene-YGL121C	NC_001139.9	280777	281157	-	381	4176	1683	51	89
gene-YGL120C	NC_001139.9	281634	283937	-	2304	76	176	866	2792
gene-YGL119W	NC_001139.9	284442	285947	+	1506	132	298	92	423
gene-YNCG0009C	NC_001139.9;NC_001139.9	287350;287420	287385;287455	-;-	72	0	0	0	0
gene-YGL118C	NC_001139.9	288014	288451	-	438	4	12	1	2
gene-YGL117W	NC_001139.9	288512	289309	+	798	188	239	38	102
gene-YGL116W	NC_001139.9	289809	291641	+	1833	409	549	6	49
gene-YGL115W	NC_001139.9	292033	293001	+	969	365	913	89	347
gene-YGL114W	NC_001139.9	293460	295637	+	2178	482	472	102	385
gene-YGL113W	NC_001139.9	295932	297938	+	2007	45	63	45	195
gene-YGL112C	NC_001139.9	298178	299728	-	1551	422	565	162	526
gene-YGL111W	NC_001139.9	299978	301369	+	1392	448	633	419	1613
gene-YGL110C	NC_001139.9	301537	303411	-	1875	158	264	58	287
gene-YGL108C	NC_001139.9	303649	304071	-	423	203	312	29	113
gene-YGL107C	NC_001139.9	304333	306273	-	1941	59	169	64	276
gene-YGL106W	NC_001139.9	306560	307009	+	450	678	946	181	811
gene-YGL105W	NC_001139.9	307437	308567	+	1131	2173	3492	687	3094
gene-YGL104C	NC_001139.9	308713	310173	-	1461	230	230	44	215
gene-YGL103W	NC_001139.9;NC_001139.9	310967;311527	311015;311927	+;+	450	1493	4994	5081	21249
gene-YGL101W	NC_001139.9	312193	312840	+	648	82	167	169	491
gene-YGL100W	NC_001139.9	313234	314283	+	1050	721	865	153	593
gene-YGL099W	NC_001139.9	314631	316553	+	1923	222	224	522	1535
gene-YNCG0010W	NC_001139.9	316788	317055	+	268	117	115	5	30
gene-YGL098W	NC_001139.9	317342	318079	+	738	576	555	60	195
gene-YNCG0011W	NC_001139.9	319781	319852	+	72	0	0	0	0
gene-YGL097W	NC_001139.9	321782	323230	+	1449	121	355	232	726
gene-YGL096W	NC_001139.9	325331	326161	+	831	1409	658	30	48
gene-YNCG0012W	NC_001139.9	328583	328654	+	72	0	0	6	11
gene-YGL095C	NC_001139.9	328874	330607	-	1734	618	669	74	217
gene-YGL094C	NC_001139.9	331118	334465	-	3348	286	358	37	147
gene-YGL093W	NC_001139.9	334886	337639	+	2754	211	284	14	58
gene-YGL092W	NC_001139.9	337906	341859	+	3954	229	524	109	382
gene-YGL091C	NC_001139.9	342056	343042	-	987	544	638	111	358
gene-YGL090W	NC_001139.9	343319	344584	+	1266	280	313	61	165
gene-YGL089C	NC_001139.9	344791	345153	-	363	15	27	7	24
gene-YGL088W	NC_001139.9	345836	346201	+	366	0	0	0	0
gene-YNCG0013W	NC_001139.9	345986	346230	+	245	4	11	0	4
gene-YGL087C	NC_001139.9;NC_001139.9	346406;346894	346808;346904	-;-	414	1255	1132	137	486
gene-YGL086W	NC_001139.9	347119	349368	+	2250	494	378	119	396
gene-YGL085W	NC_001139.9	349616	350440	+	825	121	164	70	269
gene-YGL084C	NC_001139.9	350616	352298	-	1683	700	933	57	173
gene-YGL083W	NC_001139.9	353058	355472	+	2415	261	295	70	184
gene-YGL082W	NC_001139.9	355827	356972	+	1146	381	826	42	181
gene-YGL081W	NC_001139.9	357377	358339	+	963	53	23	4	17
gene-YGL080W	NC_001139.9	358636	359028	+	393	2008	1515	65	249
gene-YGL079W	NC_001139.9	359444	360100	+	657	143	205	54	184
gene-YGL078C	NC_001139.9	360288	361859	-	1572	421	699	1212	3447
gene-YGL077C	NC_001139.9	362225	363916	-	1692	1659	1386	291	1121
gene-YGL076C	NC_001139.9;NC_001139.9;NC_001139.9	364335;365433;365986	364964;365526;365996	-;-;-	735	920	2390	2031	7742
gene-YNCG0014C	NC_001139.9	365163	365251	-	89	2	11	21	53
gene-YNCG0015C	NC_001139.9	366374	366469	-	96	2	1	4	3
gene-YGL075C	NC_001139.9	366925	368088	-	1164	19	61	6	35
gene-YGL073W	NC_001139.9	368753	371254	+	2502	1292	1238	141	483
gene-YGL071W	NC_001139.9	372012	374084	+	2073	175	194	96	333
gene-YGL070C	NC_001139.9	374459	374827	-	369	46	156	142	487
gene-YGL068W	NC_001139.9	375087	375671	+	585	136	1183	76	399
gene-YGL067W	NC_001139.9	376101	377255	+	1155	63	152	61	308
gene-YGL066W	NC_001139.9	377609	379582	+	1974	448	457	70	253
gene-YGL065C	NC_001139.9	379760	381271	-	1512	176	321	37	127
gene-YGL064C	NC_001139.9	381523	383208	-	1686	28	33	41	159
gene-YGL063W	NC_001139.9	383654	384766	+	1113	19	54	5	36
gene-YGL062W	NC_001139.9	385196	388732	+	3537	9568	5827	115	367
gene-YGL061C	NC_001139.9	388968	389711	-	744	35	128	11	67
gene-YGL060W	NC_001139.9	390065	391990	+	1926	127	194	5	42
gene-YGL059W	NC_001139.9	392223	393698	+	1476	1310	768	12	64
gene-YGL058W	NC_001139.9	393986	394504	+	519	246	498	125	443
gene-YGL057C	NC_001139.9	394966	395829	-	864	141	175	55	215
gene-YGL056C	NC_001139.9	396035	397618	-	1584	1318	445	258	781
gene-YGL055W	NC_001139.9	398628	400160	+	1533	56020	36248	993	3102
gene-YGL054C	NC_001139.9	400871	401287	-	417	564	707	256	1013
gene-YNCG0016C	NC_001139.9	401527	401598	-	72	0	0	0	0
gene-YGL053W	NC_001139.9	402589	403302	+	714	13	18	0	10
gene-YGL051W	NC_001139.9	403687	404391	+	705	17	10	4	4
gene-YNCG0017W	NC_001139.9	405470	405541	+	72	0	0	0	1
gene-YGL050W	NC_001139.9	405776	406597	+	822	132	174	137	503
gene-YGL049C	NC_001139.9	406860	409604	-	2745	303	607	163	476
gene-YGL048C	NC_001139.9	410069	411286	-	1218	3910	5075	209	835
gene-YGL047W	NC_001139.9	411552	412160	+	609	533	581	3	33
gene-YNCG0018C	NC_001139.9	412294	412367	-	74	0	4	0	0
gene-YGL045W	NC_001139.9	414102	415730	+	1629	1465	1735	100	339
gene-YGL044C	NC_001139.9	416146	417036	-	891	169	167	88	312
gene-YGL043W	NC_001139.9	417483	418412	+	930	559	797	193	716
gene-YGL041C-B	NC_001139.9	418704	418886	-	183	3	5	0	17
gene-YGL041W-A	NC_001139.9	418825	419289	+	465	367	505	64	216
gene-YGL040C	NC_001139.9	419527	420555	-	1029	626	1063	148	514
gene-YNCG0019W	NC_001139.9;NC_001139.9	423092;423162	423129;423205	+;+	82	0	0	0	0
gene-YGL039W	NC_001139.9	423961	425007	+	1047	57	97	14	60
gene-YGL038C	NC_001139.9	425362	426804	-	1443	331	543	16	53
gene-YGL037C	NC_001139.9	427297	427947	-	651	5818	9663	136	706
gene-YGL036W	NC_001139.9	428601	431330	+	2730	625	320	196	600
gene-YGL035C	NC_001139.9	431548	433062	-	1515	34	74	453	1279
gene-YGL034C	NC_001139.9	433214	433579	-	366	2	2	0	0
gene-YGL033W	NC_001139.9;NC_001139.9;NC_001139.9	435625;435750;436375	435679;436312;436401	+;+;+	645	5	17	1	4
gene-YGL032C	NC_001139.9	436570	436833	-	264	5	20	1	1
gene-YGL031C	NC_001139.9	437467	437934	-	468	1541	4098	2736	10783
gene-YGL030W	NC_001139.9;NC_001139.9	439091;439324	439093;439638	+;+	318	916	3872	3966	14901
gene-YGL029W	NC_001139.9	440063	440425	+	363	97	45	498	1814
gene-YNCG0020C	NC_001139.9;NC_001139.9	440716;440771	440751;440807	-;-	73	0	0	0	0
gene-YGL028C	NC_001139.9	441281	442909	-	1629	129	177	15	21
gene-YGL027C	NC_001139.9	443642	446143	-	2502	158	397	19	81
gene-YGL026C	NC_001139.9	446412	448535	-	2124	557	929	349	1245
gene-YGL025C	NC_001139.9	448764	449957	-	1194	455	534	115	352
gene-YGL023C	NC_001139.9	450197	452104	-	1908	600	601	160	631
gene-YGL022W	NC_001139.9	452404	454560	+	2157	297	562	114	518
gene-YGL021W	NC_001139.9	454785	457067	+	2283	556	344	13	102
gene-YGL020C	NC_001139.9	457163	457870	-	708	346	468	73	315
gene-YGL019W	NC_001139.9	458156	458992	+	837	748	1261	144	538
gene-YGL018C	NC_001139.9	459110	459664	-	555	216	356	44	163
gene-YGL017W	NC_001139.9	459854	461365	+	1512	187	197	35	133
gene-YGL016W	NC_001139.9	461666	464911	+	3246	89	111	73	284
gene-YGL015C	NC_001139.9	465043	465435	-	393	3	2	1	6
gene-YGL014W	NC_001139.9	466141	468807	+	2667	774	719	330	963
gene-YGL013C	NC_001139.9	469092	472298	-	3207	505	493	133	342
gene-YGL012W	NC_001139.9	472855	474276	+	1422	231	878	215	820
gene-YGL011C	NC_001139.9	474489	475247	-	759	2649	3715	135	716
gene-YGL010W	NC_001139.9	475545	476069	+	525	359	300	21	71
gene-YGL009C	NC_001139.9	476313	478652	-	2340	647	377	4243	7400
gene-YGL008C	NC_001139.9	479910	482666	-	2757	6190	18276	7170	23463
gene-YGL007C-A	NC_001139.9	482941	483027	-	87	10	13	1	1
gene-YGL007W	NC_001139.9	483260	483637	+	378	103	33	1	5
gene-YGL006W-A	NC_001139.9	485423	485533	+	111	32	28	4	3
gene-YGL006W	NC_001139.9	485921	489442	+	3522	8671	6778	232	682
gene-YGL005C	NC_001139.9	489708	490547	-	840	1613	1459	62	288
gene-YGL004C	NC_001139.9	490703	491956	-	1254	509	831	20	133
gene-YGL003C	NC_001139.9	492474	494174	-	1701	574	472	96	310
gene-YGL002W	NC_001139.9	494517	495167	+	651	538	522	43	150
gene-YGL001C	NC_001139.9	495453	496502	-	1050	234	731	107	423
gene-YGR001C	NC_001139.9;NC_001139.9;NC_001139.9	497133;497459;498000	497365;497937;498034	-;-;-	747	355	523	233	842
gene-YGR002C	NC_001139.9	498476	499906	-	1431	595	696	119	372
gene-YGR003W	NC_001139.9	500132	502366	+	2235	534	331	148	456
gene-YGR004W	NC_001139.9	502938	504326	+	1389	149	129	51	174
gene-YGR005C	NC_001139.9	504657	505859	-	1203	1152	873	144	523
